Tamano_N,Procesos_MPI_p,Hilos_OMP_t,Tiempo_s,GFlops
512,1,1,0.252013,1.065167
512,1,4,0.223414,1.201517
512,1,8,0.223855,1.199151
512,4,1,0.154293,1.739772
512,4,4,0.131423,2.042529
512,4,8,0.134900,1.989890
512,8,1,0.134829,1.990939
512,8,4,0.175960,1.525546
512,8,8,0.196991,1.362682
1024,1,1,4.959162,0.433034
1024,1,4,5.194979,0.413377
1024,1,8,3.211595,0.668666
1024,4,1,1.804805,1.189870
1024,4,4,1.678685,1.279265
1024,4,8,1.540077,1.394400
1024,8,1,1.391685,1.543082
1024,8,4,1.499747,1.431897
1024,8,8,1.258778,1.706006
2048,1,1,76.032087,0.225956
2048,1,4,102.488638,0.167627
2048,1,8,118.635682,0.144812
2048,4,1,62.860434,0.273302
2048,4,4,73.138771,0.234894
2048,4,8,74.637752,0.230177
2048,8,1,72.870206,0.235760
2048,8,4,72.446050,0.237140
2048,8,8,73.960409,0.232285
